exp,no,item,condition,group,cb,r1,r2,r3,r4,r5,r6,r7,left,right,question
2.0,83,26,self-directed,b,n,A pilóta,"úgy vélte,",hogy,a professzor,dicsekedett,,a kapcsolataival.,pilóta,professzor,Kinek a kapcsolatairól van szó?
1.0,30,10,contrastive,c,y,Tavaly,nyáron,Marci,többek,között,egy lepkét,fedezett fel.,10b,10a,
2.0,57,19,self-directed-x,c,n,A dolgozó,"említette,",hogy,a szakács,kérkedett,,a főzőtudásával.,dolgozó,szakács,Kinek a főzőtudásáról van szó?
1.0,25,9,exclusive,c,n,Ami,a nyelveket ,"illeti,",a diákok,csak,németet,tanultak.,9a,9b,
2.0,82,25,other-directed-x,a,y,A tudós,"számított rá,",hogy,az ügyész,kritizálja,,a vallomását.,ügyész,tudós,Kinek a vallomásáról van szó?
1.0,28,10,exclusive,a,y,Ami,az új fajokat,"illeti,",Marci,csak,egy lepkét,fedezett fel.,10b,10a,
2.0,108,32,other-directed,c,y,Az újságíró,"meglepődött,",hogy,a politikus,kifogásolta,,a nyilatkozatát.,politikus,újságíró,Kinek a nyilatkozatáról van szó?
1.0,19,7,exclusive,a,n,Ami,a bevásárlást,"illeti,",mi,csak,ásványvizet,vettünk.,7a,7b,
2.0,78,24,other-directed-x,c,y,A mérnök,"megköszönte,",hogy,az építész,támogatta,,a terveit.,építész,mérnök,Kinek a terveiről van szó?
1.0,33,11,contrastive,a,n,Múlt,hétvégén,a turisták,többek,között,egy robogót,béreltek ki.,11a,11b,
2.0,87,27,self-directed,c,n,A katona,"látta,",hogy,a kórboncnok,odafigyelt,,a munkájára.,katona,kórboncnok,Kinek a munkájáról van  szó?
1.0,1,1,exclusive,a,n,Ami,a gyümölcsöket,"illeti,",Anna,csak,egy banánt,evett.,1a,1b,
2.0,71,23,self-directed,b,n,A rendőr,"tudta,",hogy,a biztonsági őr,eljátszotta,,a fizetését.,rendőr,biztonsági őr,Kinek a fizetésről van szó?
1.0,36,12,contrastive,b,y,Tíz évvel ez előtt,a kertben,a férfi,többek,között,egy fenyőfát,ültetett el.,12b,12a,
2.0,85,26,self-directed-x,a,n,A professzor,"úgy vélte,",hogy,a pilóta,dicsekedett,,a kapcsolataival.,professzor,pilóta,Kinek a kapcsolatairól van szó?
1.0,48,16,contrastive,c,y,Ma,ebédre,a nagyi,többek,között,levest,tálalt fel.,16b,16a,
2.0,62,20,other-directed-x,b,y,A rendező,"megemlítette,",hogy,a programozó,ámult,,a képességein.,programozó,rendező,Kinek a képességeiről van szó?
1.0,46,16,exclusive,a,y,Ami,az ebédet,"illeti,",a nagyi,csak,levest,tálalt fel.,16b,16a,
2.0,100,30,other-directed,a,y,A tanár,"nem bánta,",hogy,a diák,elutasította,,a segítségét.,diák,tanár,Kinek a segítségéről van szó?
1.0,22,8,exclusive,b,y,Ami,az innivalót,"illeti,",Eszter,csak,kávét,ivott.,8b,8a,
2.0,81,25,self-directed-x,c,n,A tudós,"számított rá,",hogy,az ügyész,felolvassa,,a vallomását.,tudós,ügyész,Kinek a vallomásáról van szó?
1.0,8,3,focus,a,y,Ami,a bútorokat,"illeti,",az asztalos,tegnap,egy könyvespolcot,készített.,3b,3a,
2.0,89,27,self-directed-x,b,n,A kórboncnok,"látta,",hogy,a katona,odafigyelt,,a munkájára.,kórboncnok,katona,Kinek a munkájáról van  szó?
1.0,4,2,exclusive,b,y,Ami,az írószereket,"illeti,",a kisfiú,csak,egy ceruzát,kapott.,2b,2a,
2.0,104,31,self-directed,b,y,A művész,"mondta,",hogy,az üzletember,szervezte meg,,a kiállítását.,üzletember,művész,Kinek a kiállításáról van szó?
1.0,10,4,exclusive,a,y,Ami,a harci eszközöket,"illeti,",a katonaság,csak,a helikoptert,tesztelte.,4b,4a,
2.0,101,30,self-directed-x,b,n,A diák,"nem bánta,",hogy,a tanár,felajánlotta,,a segítségét.,diák,tanár,Kinek a segítségéről van szó?
1.0,53,18,focus,a,n,Ami,a táncot,"illeti,",Péter,tegnap este,Marit,kérte fel.,18a,18b,
2.0,79,25,self-directed,a,n,Az ügyész,"számított rá,",hogy,a tudós,felolvassa,,a vallomását.,ügyész,tudós,Kinek a vallomásáról van szó?
1.0,54,18,contrastive,b,y,Tegnap este,a bálon,Péter,többek,között,Marit,kérte fel.,18b,18a,
2.0,70,22,other-directed-x,a,y,A menedzser,"sejtette,",hogy,a vezérigazgató,vágyott,,a vagyonára.,vezérigazgató,menedzser,Kinek a vagyonáról van szó?
1.0,38,13,focus,b,y,Ami,az állatokat,"illeti,",a gyerekek,múltkor,az elefántot,nézték meg.,13b,13a,
2.0,60,20,other-directed,c,y,A programozó,"megemlítette,",hogy,a rendező,ámult,,a képességein.,rendező,programozó,Kinek a képességeiről van szó?
1.0,16,6,exclusive,c,y,Ami,a virágokat,"illeti,",Éva,csak,a tulipánt,szereti.,6b,6a,
2.0,107,32,self-directed,b,n,Az újságíró,"meglepődött,",hogy,a politikus,megbánta,,a nyilatkozatát.,újságíró,politikus,Kinek a nyilatkozatáról van szó?
