cond,item,group,sentence,audiofile,attentionquestion,answers,originalcond
fem,3,a,我夏天的时候常常穿,F03_B005.wav,,,
fem,3,b,我天热的时候喜欢穿,F03_B006.wav,,,
fem,4,a,我很喜欢别人叫我,F03_B007.wav,,,
fem,4,b,朋友在我生日的时候送了我,F03_B008.wav,,,
fem,5,a,我的爱人总说我很,F03_B009.wav,,,
fem,5,b,我小时候家人总是说我太,F03_B010.wav,,,
fem,6,a,我去年生日收到一支,F03_B011.wav,,,
fem,6,b,我朋友总是夸我很,F03_B012.wav,,,
fem,7,a,我家里有很多不同品牌的,F03_B013.wav,,,
fem,7,b,我妈给我买了很多,F03_B014.wav,,,
fem,8,a,我过两天打算去买个,F03_B015.wav,,,
fem,8,b,我经常对着我的爱人,F03_B016.wav,,,
fem,9,a,我在陌生人面前总是很,F03_B017.wav,,,
fem,9,b,我每天都会抽空练,F03_B018.wav,,,
fem,10,a,我比较喜欢棕色的,F03_B019.wav,,,
fem,10,b,朋友说我适合浅色的,F03_B020.wav,,,
fem,11,a,我朋友上周送了我一块,F03_B021.wav,,,
fem,11,b,我空闲时喜欢去学习,F03_B022.wav,,,
fem,12,a,我平时最大的爱好就是,F03_B023.wav,,,
fem,12,b,我好像每天都在找,F03_B024.wav,,,
fem,13,a,我最常看的小说题材是,F03_B025.wav,,,
fem,13,b,我希望毕业后能成为,F03_B026.wav,,,
fem,14,a,我最爱看的电视剧类型是,F03_B027.wav,,,
fem,14,b,我习惯于定期给自己,F03_B028.wav,,,
fem,15,a,我最喜欢的颜色是,F03_B030.wav,,,
fem,15,b,我关注的博主都常常谈论,F03_B031.wav,,,
fem,16,a,我喜欢收集各种牌子的,F03_B032.wav,,,
fem,16,b,朋友们都很羡慕我的,F03_B033.wav,,,
fem,17,a,我每天早上都会用,F03_B034.wav,,,
fem,17,b,我的朋友说她觉得我身材很,F03_B035.wav,,,
fem,18,a,我五年前开始从事,F03_B036.wav,,,
fem,18,b,我喜欢戴棕色或黑色的,F03_B037.wav,,,
fem,19,a,我现在的职业是一名,F03_B038.wav,,,
fem,19,b,我很热衷于收集各种,F03_B039.wav,,,
fem,20,a,我总是希望我能更加,F03_B040.wav,,,
fem,20,b,我昨天弄丢了一瓶,F03_B041.wav,,,
fem,21,a,我希望我能变得更加,F03_B042.wav,,,
fem,21,b,我早上出门前习惯,F03_B043.wav,,,
fem,22,a,我今早没找到我的,F03_B044.wav,,,
fem,22,b,我身边人都说我很爱,F03_B045.wav,,,
fem,23,a,今天早上有人说我很,F03_B046.wav,,,
