no,item,exp,condition,group,cb,r1,r2,r3,r4,r5,r6,r7,left,right,question,target
15,5,1,contrastive,a,n,Tegnap,este,én,többek,között,a fánkot,sütöttem.,5a,5b,,5b
94,28,2,other-directed-x,a,y,Julcsi,"mondta,",hogy,Mária,visszaadta,,a könyvét.,Mária,Julcsi,Kinek a könyvéről van szó?,Julcsi
76,24,2,other-directed,a,y,Az építész,"megköszönte,",hogy,a mérnök,támogatta,,a terveit.,mérnök,építész,Kinek a terveiről van szó?,építész
17,6,1,focus,a,n,Ami,a virágokat,"illeti,",Éva,mostanában,a tulipánt,szereti.,6a,6b,,
91,28,2,self-directed,a,n,Mária,"mondta,",hogy,Julcsi,kiadta,,a könyvét.,Mária,Julcsi,Kinek a könyvéről van szó?,Julcsi
106,31,2,self-directed-x,a,y,Az üzletember,"mondta,",hogy,a művész,szervezte meg,,a kiállítását.,művész,üzletember,Kinek a kiállításáról van szó?,üzletember
103,31,2,other-directed-x,a,n,A művész,"mondta,",hogy,az üzletember,büszke volt,,a kiállítására.,művész,üzletember,Kinek a kiállításáról van szó?,üzletember
67,22,2,self-directed,a,n,A vezérigazgató,"sejtette,",hogy,a menedzser,elherdálta,,a vagyonát.,vezérigazgató,menedzser,Kinek a vagyonáról van szó?,menedzser
8,3,1,focus,a,y,Ami,a bútorokat,"illeti,",az asztalos,tegnap,egy könyvespolcot,készített.,3b,3a,,
55,19,2,self-directed,a,n,A szakács,"említette,",hogy,a dolgozó,kérkedett,,a főzőtudásával.,szakács,dolgozó,Kinek a főzőtudásáról van szó?,dolgozó
117,35,,attention-check,a,n,Ha,"figyelsz arra,",amit,olvasol,válaszd,majd,a madarat.,pelikán,tigris,Melyiket választod?,pelikán
53,18,1,focus,a,n,Ami,a táncot,"illeti,",Péter,tegnap este,Marit,kérte fel.,18a,18b,,
70,22,2,other-directed-x,a,y,A menedzser,"sejtette,",hogy,a vezérigazgató,vágyott,,a vagyonára.,vezérigazgató,menedzser,Kinek a vagyonáról van szó?,menedzser
79,25,2,self-directed,a,n,Az ügyész,"számított rá,",hogy,a tudós,felolvassa,,a vallomását.,ügyész,tudós,Kinek a vallomásáról van szó?,tudós
58,19,2,other-directed-x,a,y,A dolgozó,"említette,",hogy,a szakács,megdicsérte,,a főzőtudását.,szakács,dolgozó,Kinek a főzőtudásáról van szó?,dolgozó
85,26,2,self-directed-x,a,n,A professzor,"úgy vélte,",hogy,a pilóta,dicsekedett,,a kapcsolataival.,professzor,pilóta,Kinek a kapcsolatairól van szó?,pilóta
82,25,2,other-directed-x,a,y,A tudós,"számított rá,",hogy,az ügyész,kritizálja,,a vallomását.,ügyész,tudós,Kinek a vallomásáról van szó?,tudós
35,12,1,focus,a,n,Ami,a kertet,"illeti,",a férfi,tíz éve,egy fenyőfát,ültetett el.,12a,12b,,
97,29,2,self-directed-x,a,n,A munkás,"azt hitte,",hogy,a földműves,befejezte,,a munkáját.,munkás,földműves,Kinek a munkájáról van szó?,földműves
44,15,1,focus,a,y,Ami,a kincseket,"illeti,",a kalóz,éjjel,az aranyat,találta meg.,15b,15a,,
88,27,2,other-directed,a,y,A katona,"látta,",hogy,a kórboncnok,lenézte,,a munkáját.,kórboncnok,katona,Kinek a munkájáról van  szó?,katona
42,14,1,contrastive,a,y,Múltkor,a könyhában,a szerelő,többek,között,a hűtőt,üzemelte be.,14b,14a,,14b
73,23,2,self-directed-x,a,n,A biztonsági őr,"tudta,",hogy,a rendőr,eljátszotta,,a fizetését.,biztonsági őr,rendőr,Kinek a fizetésről van szó?,rendőr
114,34,,attention-check,a,y,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,hangya,jegesmedve,,hangya
51,17,1,contrastive,a,n,Általában,a műhelyben,ez a szabó,többek,között,ingeket,foltozott be.,17a,17b,,17b
26,9,1,focus,a,y,Ami,a nyelveket ,"illeti,",a diákok,régen,németet,tanultak.,9b,9a,,
1,1,1,exclusive,a,n,Ami,a gyümölcsöket,"illeti,",Anna,csak,egy banánt,evett.,1a,1b,,1a
64,21,2,other-directed,a,y,A tűzoltó,"hallotta,",hogy,az orvos,megfontolta,,a véleményét.,orvos,tűzoltó,Kinek a véleményéről van szó?,tűzoltó
37,13,1,exclusive,a,n,Ami,az állatokat,"illeti,",a gyerekek,csak,az elefántot,nézték meg.,13a,13b,,13a
100,30,2,other-directed,a,y,A tanár,"nem bánta,",hogy,a diák,elutasította,,a segítségét.,diák,tanár,Kinek a segítségéről van szó?,tanár
46,16,1,exclusive,a,y,Ami,az ebédet,"illeti,",a nagyi,csak,levest,tálalt fel.,16b,16a,,16a
120,36,,attention-check,a,y,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,reggeli,vacsora,Melyiket választod?,vacsora
33,11,1,contrastive,a,n,Múlt,hétvégén,a turisták,többek,között,egy robogót,béreltek ki.,11a,11b,,11b
10,4,1,exclusive,a,y,Ami,a harci eszközöket,"illeti,",a katonaság,csak,a helikoptert,tesztelte.,4b,4a,,4a
111,33,,attention-check,a,n,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,burgonya,paradicsom,,burgonya
28,10,1,exclusive,a,y,Ami,az új fajokat,"illeti,",Marci,csak,egy lepkét,fedezett fel.,10b,10a,,10a
61,20,2,self-directed-x,a,n,A rendező,"megemlítette,",hogy,a programozó,töprengett,,az ügyességén.,rendező,programozó,Kinek az ügyességéről van szó?,programozó
24,8,1,contrastive,a,y,Ma,reggel,Eszter,többek,között,kávét,ivott.,8b,8a,,8b
109,32,2,self-directed-x,a,n,A politikus,"meglepődött,",hogy,az újságíró,megbánta,,a nyilatkozatát.,politikus,újságíró,Kinek a nyilatkozatáról van szó?,újságíró
19,7,1,exclusive,a,n,Ami,a bevásárlást,"illeti,",mi,csak,ásványvizet,vettünk.,7a,7b,,7a
6,2,1,contrastive,a,y,Tegnap,reggel,a kisfiú,többek,között,egy ceruzát,kapott.,2b,2a,,2b
95,29,2,self-directed,b,n,A földműves,"azt hitte,",hogy,a munkás,befejezte,,a munkáját.,földműves,munkás,Kinek a munkájáról van szó?,munkás
121,36,,attention-check,b,n,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,vacsora,reggeli,Melyiket választod?,vacsora
27,9,1,contrastive,b,n,Régen,az iskolában,a diákok,többek,között,németet,tanultak.,9a,9b,,9b
13,5,1,exclusive,b,n,Ami,a süteményeket,"illeti,",én,csak,a fánkot,sütöttem.,5a,5b,,5a
38,13,1,focus,b,y,Ami,az állatokat,"illeti,",a gyerekek,múltkor,az elefántot,nézték meg.,13b,13a,,
18,6,1,contrastive,b,y,Hallottam,hogy,Éva,többek,között,a tulipánt,szereti.,6b,6a,,6b
62,20,2,other-directed-x,b,y,A rendező,"megemlítette,",hogy,a programozó,ámult,,az ügyességén.,programozó,rendező,Kinek az ügyességéről van szó?,rendező
22,8,1,exclusive,b,y,Ami,az innivalót,"illeti,",Eszter,csak,kávét,ivott.,8b,8a,,8a
47,16,1,focus,b,n,Ami,az ebédet,"illeti,",a nagyi,ma,levest,tálalt fel.,16a,16b,,
56,19,2,other-directed,b,y,A szakács,"említette,",hogy,a dolgozó,megdicsérte,,a főzőtudását.,dolgozó,szakács,Kinek a főzőtudásáról van szó?,szakács
86,26,2,other-directed-x,b,y,A professzor,"úgy vélte,",hogy,a pilóta,irigykedett,,a kapcsolataira.,pilóta,professzor,Kinek a kapcsolatairól van szó?,professzor
29,10,1,focus,b,n,Ami,az új fajokat,"illeti,",Marci,tavaly,egy lepkét,fedezett fel.,10a,10b,,
65,21,2,self-directed-x,b,n,Az orvos,"hallotta,",hogy,a tűzoltó,megmondta,,a véleményét.,orvos,tűzoltó,Kinek a véleményéről van szó?,tűzoltó
49,17,1,exclusive,b,n,Ami,a ruhákat,"illeti,",ez a szabó,csak,ingeket,foltozott be.,17a,17b,,17a
77,24,2,self-directed-x,b,n,A mérnök,"megköszönte,",hogy,az építész,megosztotta,,a terveit.,mérnök,építész,Kinek a terveiről van szó?,építész
11,4,1,focus,b,n,Ami,a harci eszközöket,"illeti,",a katonaság,tavaly,a helikoptert,tesztelte.,4a,4b,,
4,2,1,exclusive,b,y,Ami,az írószereket,"illeti,",a kisfiú,csak,egy ceruzát,kapott.,2b,2a,,2a
71,23,2,self-directed,b,n,A rendőr,"tudta,",hogy,a biztonsági őr,eljátszotta,,a fizetését.,rendőr,biztonsági őr,Kinek a fizetésről van szó?,biztonsági őr
89,27,2,self-directed-x,b,n,A kórboncnok,"látta,",hogy,a katona,odafigyelt,,a munkájára.,kórboncnok,katona,Kinek a munkájáról van  szó?,katona
40,14,1,exclusive,b,y,Ami,a konyhát,"illeti,",a szerelő,csak,a hűtőt,üzemelte be.,14b,14a,,14a
118,35,,attention-check,b,y,Ha,"figyelsz arra,",amit,olvasol,válaszd,majd,a madarat.,tigris,pelikán,Melyiket választod?,pelikán
80,25,2,other-directed,b,y,Az ügyész,"számított rá,",hogy,a tudós,kritizálja,,a vallomását.,tudós,ügyész,Kinek a vallomásáról van szó?,ügyész
112,33,,attention-check,b,y,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,paradicsom,burgonya,,burgonya
104,31,2,self-directed,b,y,A művész,"mondta,",hogy,az üzletember,szervezte meg,,a kiállítását.,üzletember,művész,Kinek a kiállításáról van szó?,művész
2,1,1,focus,b,y,Ami,a gyümölcsöket,"illeti,",Anna,tegnap,egy banánt,evett.,1b,1a,,
68,22,2,other-directed,b,y,A vezérigazgató,"sejtette,",hogy,a menedzser,vágyott,,a vagyonára.,menedzser,vezérigazgató,Kinek a vagyonáról van szó?,vezérigazgató
83,26,2,self-directed,b,n,A pilóta,"úgy vélte,",hogy,a professzor,dicsekedett,,a kapcsolataival.,pilóta,professzor,Kinek a kapcsolatairól van szó?,professzor
20,7,1,focus,b,y,Ami,a bevásárlást,"illeti,",mi,tegnap,ásványvizet,vettünk.,7b,7a,,
